"","filename","sentence","index","date","title","publication","filepath"
"1","text_extracted_1.txt","Section: MAIN NEWS; National Desk; Part A; Pg. 1",1,2024-08-21,"Harris' fellow 'Desis' thrilled Those with South Asian roots add to Democratic","     Los Angeles Times      MAIN NEWS; National Desk; Part A; Pg. 1        James","./extracted_text/text_extracted_1.txt"
"2","text_extracted_1.txt","Length: 1595 words",1,2024-08-21,"Harris' fellow 'Desis' thrilled Those with South Asian roots add to Democratic","     Los Angeles Times      MAIN NEWS; National Desk; Part A; Pg. 1        James","./extracted_text/text_extracted_1.txt"
"3","text_extracted_1.txt","Byline: James Rainey, Faith E. Pinho",1,2024-08-21,"Harris' fellow 'Desis' thrilled Those with South Asian roots add to Democratic","     Los Angeles Times      MAIN NEWS; National Desk; Part A; Pg. 1        James","./extracted_text/text_extracted_1.txt"
"4","text_extracted_1.txt","Dateline: CHICAGO",1,2024-08-21,"Harris' fellow 'Desis' thrilled Those with South Asian roots add to Democratic","     Los Angeles Times      MAIN NEWS; National Desk; Part A; Pg. 1        James","./extracted_text/text_extracted_1.txt"
"5","text_extracted_1.txt","Body",1,2024-08-21,"Harris' fellow 'Desis' thrilled Those with South Asian roots add to Democratic","     Los Angeles Times      MAIN NEWS; National Desk; Part A; Pg. 1        James","./extracted_text/text_extracted_1.txt"
"6","text_extracted_1.txt","To Sumathi Madhure, feeling different just came with the territory in her new country. From the time she arrived in",1,2024-08-21,"Harris' fellow 'Desis' thrilled Those with South Asian roots add to Democratic","     Los Angeles Times      MAIN NEWS; National Desk; Part A; Pg. 1        James","./extracted_text/text_extracted_1.txt"
"7","text_extracted_1.txt","Nashua, N.H., at age 20, the sense would wash over her on long drives to get to an Indian restaurant or while",1,2024-08-21,"Harris' fellow 'Desis' thrilled Those with South Asian roots add to Democratic","     Los Angeles Times      MAIN NEWS; National Desk; Part A; Pg. 1        James","./extracted_text/text_extracted_1.txt"
"8","text_extracted_1.txt","pushing her cart around the grocery store.",1,2024-08-21,"Harris' fellow 'Desis' thrilled Those with South Asian roots add to Democratic","     Los Angeles Times      MAIN NEWS; National Desk; Part A; Pg. 1        James","./extracted_text/text_extracted_1.txt"
"9","text_extracted_1.txt","""When I saw another brown person in the supermarket, it was so rare, I would just invite them to my home for",1,2024-08-21,"Harris' fellow 'Desis' thrilled Those with South Asian roots add to Democratic","     Los Angeles Times      MAIN NEWS; National Desk; Part A; Pg. 1        James","./extracted_text/text_extracted_1.txt"
"10","text_extracted_1.txt","dinner,"" Madhure said with a chuckle. ""Building a sense of place, building a community; it doesn't just happen. It",1,2024-08-21,"Harris' fellow 'Desis' thrilled Those with South Asian roots add to Democratic","     Los Angeles Times      MAIN NEWS; National Desk; Part A; Pg. 1        James","./extracted_text/text_extracted_1.txt"
"11","text_extracted_1.txt","doesn't happen if you don't make the effort.""",1,2024-08-21,"Harris' fellow 'Desis' thrilled Those with South Asian roots add to Democratic","     Los Angeles Times      MAIN NEWS; National Desk; Part A; Pg. 1        James","./extracted_text/text_extracted_1.txt"
"12","text_extracted_1.txt","Four decades later, her adoptive country has changed. Now Madhure -- physical therapist, mother of two and",1,2024-08-21,"Harris' fellow 'Desis' thrilled Those with South Asian roots add to Democratic","     Los Angeles Times      MAIN NEWS; National Desk; Part A; Pg. 1        James","./extracted_text/text_extracted_1.txt"
"13","text_extracted_1.txt","political dynamo in Nashua -- feels the small stream of her journey in America has flowed with many, many others",1,2024-08-21,"Harris' fellow 'Desis' thrilled Those with South Asian roots add to Democratic","     Los Angeles Times      MAIN NEWS; National Desk; Part A; Pg. 1        James","./extracted_text/text_extracted_1.txt"
"14","text_extracted_1.txt","into a mighty river.",1,2024-08-21,"Harris' fellow 'Desis' thrilled Those with South Asian roots add to Democratic","     Los Angeles Times      MAIN NEWS; National Desk; Part A; Pg. 1        James","./extracted_text/text_extracted_1.txt"
"15","text_extracted_1.txt","She and other immigrants and others who have roots in India and other parts of South Asia gathered in Chicago",1,2024-08-21,"Harris' fellow 'Desis' thrilled Those with South Asian roots add to Democratic","     Los Angeles Times      MAIN NEWS; National Desk; Part A; Pg. 1        James","./extracted_text/text_extracted_1.txt"
"16","text_extracted_1.txt","this week for the Democratic National Convention -- many expressing elation at the ascension of Kamala Harris as",1,2024-08-21,"Harris' fellow 'Desis' thrilled Those with South Asian roots add to Democratic","     Los Angeles Times      MAIN NEWS; National Desk; Part A; Pg. 1        James","./extracted_text/text_extracted_1.txt"
"17","text_extracted_1.txt","the party's presidential nominee.",1,2024-08-21,"Harris' fellow 'Desis' thrilled Those with South Asian roots add to Democratic","     Los Angeles Times      MAIN NEWS; National Desk; Part A; Pg. 1        James","./extracted_text/text_extracted_1.txt"
"18","text_extracted_1.txt","""To think that somebody who looks like her, somebody of South Asian descent, will be, perhaps, the president, be",1,2024-08-21,"Harris' fellow 'Desis' thrilled Those with South Asian roots add to Democratic","     Los Angeles Times      MAIN NEWS; National Desk; Part A; Pg. 1        James","./extracted_text/text_extracted_1.txt"
